site,Time,depth,speed,vorticity,Fr,porpoise_present
1,2024/1/2 14:00,10.4223,0.616778,0.0001213,0.061028691,0
1,2024/1/2 14:30,10.4201,0.616897,0.0001211,0.061046909,0
1,2024/1/2 15:00,10.4179,0.617013,0.0001209,0.061064834,0
1,2024/1/2 15:30,10.4157,0.617117,0.0001205,0.061081577,1
1,2024/1/2 16:00,10.4136,0.617257,0.0001203,0.061101594,0
1,2024/1/2 16:30,10.4115,0.617366,0.00012,0.061118547,0
1,2024/1/2 17:00,10.4095,0.617474,0.0001199,0.061135111,0
1,2024/1/2 17:30,10.4075,0.61758,0.0001195,0.06115148,0
1,2024/1/2 18:00,10.4055,0.617694,0.0001194,0.061168646,0
1,2024/1/2 18:30,10.4036,0.617793,0.0001191,0.061184036,0
1,2024/1/2 19:00,10.4017,0.617889,0.0001188,0.061199132,1
1,2024/1/2 19:30,10.3999,0.617981,0.0001186,0.061213541,0
1,2024/1/2 20:00,10.3981,0.618076,0.0001186,0.06122825,0
1,2024/1/2 20:30,10.3964,0.618169,0.0001183,0.061242469,0
1,2024/1/2 21:00,10.3946,0.618261,0.0001181,0.061256887,0
1,2024/1/2 21:30,10.393,0.618348,0.0001179,0.061270223,0
1,2024/1/2 22:00,10.3913,0.618436,0.0001177,0.061283955,0
1,2024/1/2 22:30,10.3897,0.618523,0.0001175,0.061297295,0
1,2024/1/2 23:00,10.3881,0.618604,0.0001173,0.061310044,0
1,2024/1/2 23:30,10.3866,0.618688,0.0001173,0.061322796,0
1,2024/1/3,10.3851,0.618768,0.000117,0.061335155,0
1,2024/1/3 00:30,10.3835,0.618732,0.0001169,0.061336312,0
1,2024/1/3 01:00,10.3817,0.61861,0.0001166,0.061329533,0
1,2024/1/3 01:30,10.3799,0.618483,0.0001164,0.061322259,0
1,2024/1/3 02:00,10.3781,0.618359,0.0001162,0.061315281,0
1,2024/1/3 02:30,10.3763,0.618237,0.000116,0.061308501,0
1,2024/1/3 03:00,10.3744,0.618111,0.0001156,0.061301618,0
1,2024/1/3 03:30,10.3725,0.617987,0.0001153,0.061294934,0
1,2024/1/3 04:00,10.3706,0.617896,0.0001151,0.061291522,0
1,2024/1/3 04:30,10.3687,0.617742,0.0001148,0.06128186,0
1,2024/1/3 05:00,10.3667,0.617624,0.0001146,0.061276064,0
1,2024/1/3 05:30,10.3648,0.617502,0.0001144,0.061269575,0
1,2024/1/3 06:00,10.3628,0.617379,0.0001141,0.061263282,0
1,2024/1/3 06:30,10.3608,0.617253,0.0001138,0.06125669,0
1,2024/1/3 07:00,10.3589,0.617127,0.0001136,0.061249802,0
1,2024/1/3 07:30,10.3569,0.616987,0.0001132,0.061241819,0
1,2024/1/3 08:00,10.355,0.616809,0.000113,0.061229768,0
1,2024/1/3 08:30,10.3531,0.616728,0.0001128,0.061227344,0
1,2024/1/3 09:00,10.3511,0.616603,0.0001125,0.061220848,0
1,2024/1/3 09:30,10.3492,0.616469,0.0001122,0.061213162,0
1,2024/1/3 10:00,10.3472,0.616341,0.000112,0.061206367,0
1,2024/1/3 10:30,10.3453,0.616213,0.0001117,0.061199275,0
1,2024/1/3 11:00,10.3433,0.616084,0.0001115,0.061192378,0
1,2024/1/3 11:30,10.3414,0.615954,0.0001113,0.061185086,0
1,2024/1/3 12:00,10.3394,0.615825,0.0001109,0.061178188,0
1,2024/1/3 12:30,10.3375,0.615667,0.0001107,0.061168112,0
1,2024/1/3 13:00,10.3356,0.615549,0.0001105,0.061162009,0
1,2024/1/3 13:30,10.3336,0.61542,0.0001102,0.061155109,0
1,2024/1/3 14:00,10.3317,0.61529,0.0001099,0.061147813,0
1,2024/1/3 14:30,10.3298,0.615159,0.0001097,0.061140416,0
1,2024/1/3 15:00,10.3279,0.615025,0.0001094,0.06113272,0
1,2024/1/3 15:30,10.3259,0.614894,0.0001092,0.061125618,0
1,2024/1/3 16:00,10.324,0.614761,0.0001089,0.061118019,0
1,2024/1/3 16:30,10.3221,0.614629,0.0001086,0.06111052,0
1,2024/1/3 17:00,10.3202,0.614497,0.0001083,0.06110302,0
1,2024/1/3 17:30,10.3183,0.614364,0.000108,0.061095419,0
1,2024/1/3 18:00,10.3163,0.614232,0.0001079,0.061088213,0
1,2024/1/3 18:30,10.3144,0.614098,0.0001076,0.061080511,0
1,2024/1/3 19:00,10.3125,0.61397,0.0001073,0.061073405,0
1,2024/1/3 19:30,10.3106,0.613828,0.0001072,0.061064905,0
1,2024/1/3 20:00,10.3087,0.613627,0.0001073,0.061050535,0
1,2024/1/3 20:30,10.3067,0.613447,0.0001075,0.061038548,0
1,2024/1/3 21:00,10.3049,0.613296,0.0001074,0.061028852,0
1,2024/1/3 21:30,10.303,0.613156,0.0001073,0.061020547,0
1,2024/1/3 22:00,10.3011,0.613019,0.000107,0.061012539,0
1,2024/1/3 22:30,10.2992,0.612881,0.0001068,0.06100443,0
1,2024/1/3 23:00,10.2973,0.612735,0.0001065,0.060995524,0
1,2024/1/3 23:30,10.2955,0.612608,0.0001062,0.060988212,0
1,2024/1/4,10.2936,0.612458,0.000106,0.060978906,0
1,2024/1/4 00:30,10.2918,0.612384,0.0001059,0.06097687,0
1,2024/1/4 01:00,10.2901,0.612338,0.0001055,0.060977326,0
1,2024/1/4 01:30,10.2883,0.612295,0.0001052,0.060978378,0
1,2024/1/4 02:00,10.2866,0.612248,0.0001051,0.060978735,0
1,2024/1/4 02:30,10.285,0.6122,0.0001049,0.060978697,0
1,2024/1/4 03:00,10.2833,0.612152,0.0001047,0.060978956,0
1,2024/1/4 03:30,10.2817,0.612104,0.0001044,0.060978918,0
1,2024/1/4 04:00,10.2801,0.612055,0.0001042,0.060978782,0
1,2024/1/4 04:30,10.2786,0.612004,0.000104,0.060978149,0
1,2024/1/4 05:00,10.277,0.611952,0.0001039,0.060977714,0
1,2024/1/4 05:30,10.2755,0.611897,0.0001036,0.060976684,0
